Combination,Hitcount
C003–A001,1
C003–A002,4
C003–A006,1
C003–A011,4
C003–A025,1
C003–A030,2
C028–A001,1
C028–A002,1
C028–A011,3
C037–A002,1
C037–A011,4
C042–A011,3
C054–A011,2
C067–A011,3
C093–A002,1
C093–A011,1
C122–A011,5
